Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,27.483749,27.832500,27.056250,27.416250,17.017271,3811467
2007-01-04,27.247499,27.821251,27.236250,27.719999,17.205805,3206578
2007-01-05,27.719999,27.855000,27.562500,27.843750,17.282627,3348622
2007-01-08,28.113750,28.395000,28.023750,28.158751,17.478144,2118667
2007-01-09,28.170000,28.203751,27.573750,27.855000,17.289606,2581956
2007-01-10,27.517500,27.798750,27.371250,27.764999,17.233740,3692356
2007-01-11,27.438749,27.888750,27.360001,27.506250,17.073137,3650222
2007-01-12,27.641251,27.843750,27.562500,27.798750,17.254686,2806489
2007-01-16,27.990000,28.046249,27.157499,27.157499,16.856663,3844178
2007-01-17,28.912500,29.891251,28.844999,29.576250,18.357985,12987022
2007-01-18,29.115000,29.137501,28.215000,28.327499,17.582888,7783733
2007-01-19,28.428749,28.518749,28.023750,28.350000,17.596849,6181867
2007-01-22,28.203751,28.350000,27.911249,28.271250,17.547972,4051378
2007-01-23,28.091249,28.473749,28.023750,28.305000,17.568918,5629244
2007-01-24,28.485001,28.743750,28.282499,28.743750,17.841251,3746311
2007-01-25,28.496250,28.743750,28.012501,28.113750,17.450214,2863289
2007-01-26,28.248751,28.631250,28.023750,28.518749,17.701593,2595200
2007-01-29,28.282499,28.316250,27.922501,28.057501,17.415295,2117333
2007-01-30,28.496250,28.518749,28.158751,28.485001,17.680643,2162933
2007-01-31,28.181250,28.743750,28.125000,28.665001,17.792372,2610400
2007-02-01,28.552500,28.642500,28.282499,28.518749,17.701593,2544533
2007-02-02,28.305000,28.552500,28.260000,28.530001,17.708574,3105244
2007-02-05,28.237499,28.440001,28.170000,28.327499,17.582888,1725956
2007-02-06,28.462500,28.530001,28.102501,28.406250,17.631765,2313422
2007-02-07,28.608749,28.991249,28.586250,28.867500,17.918066,2109600
2007-02-08,28.721251,29.047501,28.631250,28.934999,17.959961,1521511
2007-02-09,29.081249,29.137501,28.158751,28.316250,17.575899,4614489
2007-02-12,28.170000,28.192499,27.776251,27.855000,17.289606,2826311
2007-02-13,28.080000,28.203751,27.719999,27.990000,17.373394,3208800
2007-02-14,28.709999,29.272499,28.642500,29.250000,18.155481,3478222
2007-02-15,28.957500,29.148750,28.844999,29.058750,18.036772,1384622
2007-02-16,28.946251,29.351250,28.946251,29.295000,18.183411,1706133
2007-02-20,28.754999,29.115000,28.518749,29.013750,18.008841,2659556
2007-02-21,28.406250,28.754999,28.350000,28.709999,17.820299,1676711
2007-02-22,28.473749,28.822500,28.473749,28.698750,17.813316,3661956
2007-02-23,28.822500,29.137501,28.822500,28.980000,17.987892,3015556
2007-02-26,28.811251,28.878750,28.406250,28.586250,17.743490,2023911
2007-02-27,27.753750,28.068750,27.292500,27.528749,17.087105,3829333
2007-02-28,27.911249,28.012501,27.416250,27.652500,17.163914,3215200
2007-03-01,26.325001,27.056250,26.111250,26.842501,16.661142,4905867
2007-03-02,26.606251,26.730000,26.100000,26.235001,16.284069,3663111
2007-03-05,25.616249,26.190001,25.537500,25.773750,15.997771,3770311
2007-03-06,25.965000,26.156250,25.830000,26.055000,16.172346,2530400
2007-03-07,26.055000,26.212500,25.886250,25.920000,16.088549,3158844
2007-03-08,26.302500,26.516251,26.212500,26.268749,16.305016,2284000
2007-03-09,26.257500,26.370001,26.043751,26.178749,16.249155,2277244
2007-03-12,26.178749,26.718750,26.167500,26.673750,16.556404,2644089
2007-03-13,26.268749,26.392500,25.683750,25.751249,15.983799,2676622
2007-03-14,26.032499,26.077499,25.481251,25.908751,16.081570,4852889
2007-03-15,26.055000,26.358749,25.976250,26.178749,16.249155,3745867
2007-03-16,26.437500,26.808750,26.381250,26.639999,16.535454,4476444
2007-03-19,26.606251,26.752501,26.448750,26.516251,16.458639,2718044
2007-03-20,26.325001,27.045000,26.325001,27.011250,16.765884,2536711
2007-03-21,26.831249,27.866249,26.775000,27.731251,17.212791,4200622
2007-03-22,27.551250,27.584999,27.315001,27.461250,17.045202,2848178
2007-03-23,27.483749,27.764999,27.427500,27.731251,17.212791,2315289
2007-03-26,27.731251,27.990000,27.584999,27.978750,17.366417,3397689
2007-03-27,27.360001,27.618750,27.315001,27.461250,17.045202,2164533
2007-03-28,27.416250,27.562500,27.236250,27.270000,16.926498,1814400
2007-03-29,27.866249,27.888750,27.461250,27.731251,17.212791,3011911
2007-03-30,27.663750,28.001249,27.629999,27.843750,17.282627,2661600
2007-04-02,28.035000,28.113750,27.742500,27.978750,17.366417,2003200
2007-04-03,28.080000,28.282499,27.933750,28.170000,17.485126,1934044
2007-04-04,28.293751,28.451250,28.192499,28.372499,17.610815,1163733
2007-04-05,28.867500,28.991249,28.788750,28.889999,17.932026,2217422
2007-04-09,28.811251,29.002501,28.473749,28.777500,17.862204,902400
2007-04-10,28.575001,28.923750,28.563749,28.844999,17.904097,2129689
2007-04-11,28.631250,28.698750,28.350000,28.428749,17.645731,1895200
2007-04-12,28.417500,29.193750,28.316250,29.137501,18.085648,3432000
2007-04-13,29.250000,29.250000,28.653749,29.002501,18.001858,2746844
2007-04-16,29.340000,29.340000,29.092501,29.306250,18.190397,1695556
2007-04-17,29.272499,29.452499,28.901251,29.362499,18.225309,3147644
2007-04-18,30.498751,30.993750,30.273750,30.836250,19.140064,5351556
2007-04-19,30.352501,31.027500,30.330000,30.780001,19.105152,4251378
2007-04-20,31.421249,31.578751,31.094999,31.275000,19.412395,4295200
2007-04-23,30.802500,30.993750,30.746250,30.926250,19.195927,2462222
2007-04-24,31.331249,31.545000,31.151251,31.398750,19.489214,1993333
2007-04-25,31.196251,31.252501,30.802500,31.184999,19.356535,2749778
2007-04-26,30.780001,31.061251,30.622499,30.971251,19.223864,2057689
2007-04-27,30.622499,31.016251,30.521250,30.723749,19.070234,2861689
2007-04-30,30.622499,31.083750,30.476250,30.656250,19.028341,2733422
2007-05-01,30.813749,30.993750,30.397499,30.836250,19.140064,2281067
2007-05-02,30.600000,30.746250,30.498751,30.622499,19.007389,1792533
2007-05-03,30.836250,30.836250,30.476250,30.701250,19.056274,1445244
2007-05-04,31.004999,31.027500,30.656250,30.870001,19.161018,765511
2007-05-07,30.791250,30.892500,30.577499,30.678749,19.042303,1220889
2007-05-08,30.318750,30.318750,29.947500,30.138750,18.707130,2490222
2007-05-09,29.621250,29.992500,29.587500,29.992500,18.616354,3283111
2007-05-10,29.610001,29.700001,28.822500,28.822500,17.890133,2908800
2007-05-11,29.171249,29.373751,28.991249,29.317499,18.197378,1557867
2007-05-14,29.340000,29.508751,28.923750,29.182501,18.113583,2513867
2007-05-15,28.980000,29.407499,28.946251,28.946251,17.966944,2919289
2007-05-16,28.597500,28.709999,28.260000,28.586250,17.743490,4597511
2007-05-17,28.799999,28.867500,28.575001,28.687500,17.806339,1854578
2007-05-18,28.844999,28.889999,28.575001,28.698750,17.813316,1507556
2007-05-21,28.608749,28.878750,28.428749,28.485001,17.680643,2476533
2007-05-22,28.631250,28.665001,28.372499,28.530001,17.708574,2112889
2007-05-23,28.473749,28.507500,28.091249,28.102501,17.443230,5184178
2007-05-24,28.282499,28.338751,27.787500,27.855000,17.289606,2118756
2007-05-25,28.068750,28.091249,27.764999,27.832500,17.275635,2439911
2007-05-29,28.248751,28.282499,27.742500,27.911249,17.324518,2421067
2007-05-30,27.584999,27.843750,27.382500,27.776251,17.240723,3173156
2007-05-31,29.879999,30.059999,28.912500,28.991249,17.994873,7932000
2007-06-01,29.598749,29.632500,29.295000,29.542500,18.337038,1966578
2007-06-04,29.272499,29.475000,29.002501,29.058750,18.036772,2515911
2007-06-05,28.844999,28.889999,28.327499,28.485001,17.680643,5113511
2007-06-06,28.586250,28.620001,28.080000,28.125000,17.457195,3672533
2007-06-07,28.552500,28.788750,28.215000,28.215000,17.513056,5468800
2007-06-08,28.788750,29.002501,28.473749,28.901251,17.939013,2052889
2007-06-11,28.957500,29.013750,28.597500,28.709999,17.820299,2989244
2007-06-12,28.215000,28.620001,28.035000,28.170000,17.485126,3856889
2007-06-13,28.518749,28.833750,28.181250,28.709999,17.820299,1805067
2007-06-14,28.631250,29.013750,28.282499,28.889999,17.932026,2706933
