Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,7.852500,7.892500,7.650000,7.737500,2.396311,985600
2007-01-04,7.735000,7.762500,7.705000,7.762500,2.404053,824800
2007-01-05,7.787500,7.787500,7.687500,7.737500,2.396311,978000
2007-01-08,7.745000,7.765000,7.615000,7.725000,2.392440,671600
2007-01-09,7.695000,7.720000,7.625000,7.667500,2.374632,736800
2007-01-10,7.587500,7.665000,7.565000,7.625000,2.361469,730800
2007-01-11,7.622500,7.637500,7.565000,7.635000,2.364566,2177200
2007-01-12,7.637500,7.750000,7.635000,7.660000,2.372309,520400
2007-01-16,7.652500,7.670000,7.587500,7.662500,2.373084,589600
2007-01-17,7.637500,7.715000,7.562500,7.715000,2.389343,370400
2007-01-18,7.652500,7.740000,7.562500,7.707500,2.387020,1264800
2007-01-19,7.707500,7.725000,7.652500,7.710000,2.387795,790400
2007-01-22,7.712500,7.737500,7.677500,7.737500,2.396311,376000
2007-01-23,7.745000,7.865000,7.737500,7.862500,2.435024,647600
2007-01-24,7.845000,7.972500,7.822500,7.972500,2.469091,676400
2007-01-25,8.062500,8.200000,7.812500,7.812500,2.419539,673200
2007-01-26,7.812500,7.975000,7.745000,7.962500,2.465993,1265600
2007-01-29,7.952500,7.975000,7.815000,7.937500,2.458251,647600
2007-01-30,7.937500,8.000000,7.937500,7.975000,2.469865,948800
2007-01-31,8.000000,8.002500,7.947500,7.997500,2.476833,626800
2007-02-01,8.000000,8.062500,7.950000,8.000000,2.477607,840800
2007-02-02,8.002500,8.062500,7.980000,8.045000,2.491543,910000
2007-02-05,8.045000,8.075000,8.000000,8.060000,2.496189,1041200
2007-02-06,8.120000,8.125000,8.075000,8.120000,2.514771,794000
2007-02-07,8.122500,8.250000,8.092500,8.210000,2.542645,1080000
2007-02-08,8.200000,8.237500,8.175000,8.175000,2.531805,417200
2007-02-09,8.225000,8.250000,8.205000,8.212500,2.543419,399600
2007-02-12,8.222500,8.227500,8.192500,8.205000,2.541096,177600
2007-02-13,8.200000,8.250000,8.157500,8.235000,2.550388,399600
2007-02-14,8.312500,8.370000,8.287500,8.292500,2.568195,446000
2007-02-15,8.292500,8.330000,8.262500,8.327500,2.579035,448800
2007-02-16,8.337500,8.350000,8.250000,8.350000,2.586003,384400
2007-02-20,8.315000,8.345000,8.252500,8.260000,2.558130,377600
2007-02-21,8.330000,8.345000,8.267500,8.302500,2.571292,278000
2007-02-22,8.330000,8.375000,8.262500,8.262500,2.558904,778000
2007-02-23,8.250000,8.280000,8.220000,8.262500,2.558904,569200
2007-02-26,8.275000,8.320000,8.257500,8.307500,2.572841,596800
2007-02-27,8.307500,8.350000,8.237500,8.237500,2.551161,821200
2007-02-28,8.287500,8.425000,8.260000,8.425000,2.609230,646400
2007-03-01,8.400000,8.825000,8.300000,8.825000,2.733111,1312400
2007-03-02,8.750000,8.937500,8.725000,8.875000,2.748596,679200
2007-03-05,8.687500,8.830000,8.475000,8.717500,2.699817,653200
2007-03-06,8.737500,8.790000,8.645000,8.752500,2.710657,630000
2007-03-07,8.815000,8.862500,8.630000,8.715000,2.699044,812800
2007-03-08,8.690000,8.837500,8.690000,8.805000,2.726917,415600
2007-03-09,8.850000,9.075000,8.780000,9.075000,2.810536,573600
2007-03-12,8.975000,9.107500,8.855000,8.932500,2.766403,826400
2007-03-13,8.935000,8.965000,8.895000,8.905000,2.757887,670000
2007-03-14,8.850000,8.932500,8.772500,8.900000,2.756338,566800
2007-03-15,8.925000,8.975000,8.802500,8.850000,2.740853,971600
2007-03-16,8.847500,8.997500,8.762500,8.962500,2.775695,956800
2007-03-19,9.000000,9.000000,8.907500,8.962500,2.775695,550000
2007-03-20,9.000000,9.025000,8.912500,8.987500,2.783437,306000
2007-03-21,9.050000,9.115000,8.935000,9.115000,2.822924,639200
2007-03-22,9.125000,9.152500,9.095000,9.097500,2.817504,325200
2007-03-23,9.185000,9.250000,9.175000,9.205000,2.850797,1116800
2007-03-26,9.262500,9.292500,9.217500,9.250000,2.864734,472400
2007-03-27,9.225000,9.250000,9.120000,9.230000,2.858540,928800
2007-03-28,9.200000,9.275000,9.167500,9.200000,2.849249,487200
2007-03-29,9.212500,9.270000,9.000000,9.187500,2.845377,519200
2007-03-30,9.122500,9.175000,9.005000,9.175000,2.841506,694800
2007-04-02,9.147500,9.187500,9.100000,9.132500,2.828343,734000
2007-04-03,9.137500,9.175000,9.100000,9.145000,2.832215,560400
2007-04-04,9.025000,9.175000,9.025000,9.150000,2.861614,718800
2007-04-05,9.125000,9.197500,9.120000,9.155000,2.863177,718400
2007-04-09,9.125000,9.205000,9.062500,9.205000,2.878814,841600
2007-04-10,9.205000,9.225000,9.152500,9.175000,2.869431,678400
2007-04-11,9.200000,9.215000,9.117500,9.152500,2.862395,454800
2007-04-12,9.215000,9.225000,9.062500,9.110000,2.849102,619600
2007-04-13,9.212500,9.217500,9.100000,9.135000,2.856923,524000
2007-04-16,9.162500,9.170000,9.075000,9.120000,2.852231,338400
2007-04-17,9.212500,9.277500,9.110000,9.225000,2.885069,447600
2007-04-18,9.075000,9.400000,9.075000,9.387500,2.935890,526400
2007-04-19,9.400000,9.457500,9.277500,9.387500,2.935890,547200
2007-04-20,9.475000,9.525000,9.405000,9.450000,2.955436,363200
2007-04-23,9.475000,9.557500,9.435000,9.460000,2.958564,256400
2007-04-24,9.437500,9.560000,9.397500,9.480000,2.964818,300000
